Concept(EN),ConceptClass,Concept(IT),Prod.Frequency,Rank,Feature,RelationType,FreqWaCKy,logFreqWaCKy,No.Letters,No.Syllables,No.Features,No.DistinguishingFeatures,Percent.DistinguishingFeatures,MeanDistinctivenessAcrossFeatures,MeanCueValidity,No.IntercorrelatedFeatures,Percent.IntercorrelatedFeatures,IntercorrelationalDensity,(Non)Distinguishing,Distinctiveness,Q1,Q2,T,S_obs,U,S_hat,sd_S_hat,CI_L,CI_U,C_T,Nationality
eye,bodypart,occhio,5,7,is_round,ese,322303,12.6832473758583,6,2,9,5,0.555556,0.649206,7.063156,2,0.333333,0.623728887235515,ND,0.166667,14,5,37,36,160,55.0702702702703,13.9897288838624,41.2698593281708,105.010420493973,0.91420233463035,IT
eye,bodypart,occhio,5,7,part_of_face,ew,322303,12.6832473758583,6,2,9,5,0.555556,0.649206,7.063156,2,0.333333,0.623728887235515,D,1.0,14,5,37,36,160,55.0702702702703,13.9897288838624,41.2698593281708,105.010420493973,0.91420233463035,IT
hand,bodypart,mano,24,1,used_for_grasping,sf,456379,13.0310788836415,4,2,6,4,0.666667,0.672222,8.940513,2,0.666667,0.791806641701381,D,0.5,19,5,34,36,138,71.0382352941176,23.217069882094,46.7395506549841,150.313714974304,0.864480240256638,IT
hand,bodypart,mano,23,2,has_5_fingers,ece,456379,13.0310788836415,4,2,6,4,0.666667,0.672222,8.940513,2,0.666667,0.791806641701381,D,1.0,19,5,34,36,138,71.0382352941176,23.217069882094,46.7395506549841,150.313714974304,0.864480240256638,IT
hand,bodypart,mano,21,3,a_body_part,ch,456379,13.0310788836415,4,2,6,4,0.666667,0.672222,8.940513,2,0.666667,0.791806641701381,ND,0.2,19,5,34,36,138,71.0382352941176,23.217069882094,46.7395506549841,150.313714974304,0.864480240256638,IT
hand,bodypart,mano,10,4,extreme_part_of_arm,ew,456379,13.0310788836415,4,2,6,4,0.666667,0.672222,8.940513,2,0.666667,0.791806641701381,D,1.0,19,5,34,36,138,71.0382352941176,23.217069882094,46.7395506549841,150.313714974304,0.864480240256638,IT
hand,bodypart,mano,6,5,used_for_doing,sf,456379,13.0310788836415,4,2,6,4,0.666667,0.672222,8.940513,2,0.666667,0.791806641701381,D,1.0,19,5,34,36,138,71.0382352941176,23.217069882094,46.7395506549841,150.313714974304,0.864480240256638,IT
hand,bodypart,mano,5,6,there_are_2,eq,456379,13.0310788836415,4,2,6,4,0.666667,0.672222,8.940513,2,0.666667,0.791806641701381,ND,0.333333,19,5,34,36,138,71.0382352941176,23.217069882094,46.7395506549841,150.313714974304,0.864480240256638,IT
horse,mammal,cavallo,24,1,an_animal,ch,84651,11.3462922008406,7,3,13,8,0.615385,0.473932,5.853095,10,0.47619,2.29827241703376,D,0.1,28,7,34,54,204,108.352941176471,29.9736908859873,73.7970363677128,203.226488230883,0.864793678665496,IT
horse,mammal,cavallo,21,2,has_4_legs,ece,84651,11.3462922008406,7,3,13,8,0.615385,0.473932,5.853095,10,0.47619,2.29827241703376,ND,0.166667,28,7,34,54,204,108.352941176471,29.9736908859873,73.7970363677128,203.226488230883,0.864793678665496,IT
horse,mammal,cavallo,16,3,is_large,ese,84651,11.3462922008406,7,3,13,8,0.615385,0.473932,5.853095,10,0.47619,2.29827241703376,ND,0.111111,28,7,34,54,204,108.352941176471,29.9736908859873,73.7970363677128,203.226488230883,0.864793678665496,IT
horse,mammal,cavallo,12,4,is_fast,iep,84651,11.3462922008406,7,3,13,8,0.615385,0.473932,5.853095,10,0.47619,2.29827241703376,ND,0.333333,28,7,34,54,204,108.352941176471,29.9736908859873,73.7970363677128,203.226488230883,0.864793678665496,IT
horse,mammal,cavallo,12,4,used_for_transportation,sf,84651,11.3462922008406,7,3,13,8,0.615385,0.473932,5.853095,10,0.47619,2.29827241703376,ND,0.166667,28,7,34,54,204,108.352941176471,29.9736908859873,73.7970363677128,203.226488230883,0.864793678665496,IT
horse,mammal,cavallo,11,5,a_mammal,ch,84651,11.3462922008406,7,3,13,8,0.615385,0.473932,5.853095,10,0.47619,2.29827241703376,ND,0.2,28,7,34,54,204,108.352941176471,29.9736908859873,73.7970363677128,203.226488230883,0.864793678665496,IT
horse,mammal,cavallo,10,6,used_by_riding,sa,84651,11.3462922008406,7,3,13,8,0.615385,0.473932,5.853095,10,0.47619,2.29827241703376,D,1.0,28,7,34,54,204,108.352941176471,29.9736908859873,73.7970363677128,203.226488230883,0.864793678665496,IT
horse,mammal,cavallo,9,7,has_a_mane,ece,84651,11.3462922008406,7,3,13,8,0.615385,0.473932,5.853095,10,0.47619,2.29827241703376,D,1.0,28,7,34,54,204,108.352941176471,29.9736908859873,73.7970363677128,203.226488230883,0.864793678665496,IT
horse,mammal,cavallo,8,8,has_hooves,ece,84651,11.3462922008406,7,3,13,8,0.615385,0.473932,5.853095,10,0.47619,2.29827241703376,D,1.0,28,7,34,54,204,108.352941176471,29.9736908859873,73.7970363677128,203.226488230883,0.864793678665496,IT
horse,mammal,cavallo,7,9,beh_-_neighs,eb,84651,11.3462922008406,7,3,13,8,0.615385,0.473932,5.853095,10,0.47619,2.29827241703376,D,1.0,28,7,34,54,204,108.352941176471,29.9736908859873,73.7970363677128,203.226488230883,0.864793678665496,IT
horse,mammal,cavallo,6,10,is_edible,sa,84651,11.3462922008406,7,3,13,8,0.615385,0.473932,5.853095,10,0.47619,2.29827241703376,D,0.0833333,28,7,34,54,204,108.352941176471,29.9736908859873,73.7970363677128,203.226488230883,0.864793678665496,IT
horse,mammal,cavallo,6,10,used_for_pulling,sf,84651,11.3462922008406,7,3,13,8,0.615385,0.473932,5.853095,10,0.47619,2.29827241703376,D,0.5,28,7,34,54,204,108.352941176471,29.9736908859873,73.7970363677128,203.226488230883,0.864793678665496,IT
horse,mammal,cavallo,5,11,beh_-_eats_grass,eb,84651,11.3462922008406,7,3,13,8,0.615385,0.473932,5.853095,10,0.47619,2.29827241703376,D,0.5,28,7,34,54,204,108.352941176471,29.9736908859873,73.7970363677128,203.226488230883,0.864793678665496,IT
leg,bodypart,gamba,21,1,a_body_part,ch,59807,10.9988779899443,5,2,11,9,0.818182,0.866667,9.932513,10,1.0,5.95614298257164,ND,0.2,24,7,35,48,183,87.9673469387755,23.1170331185874,61.9452626522512,162.54705882263,0.871064586213707,IT
leg,bodypart,gamba,21,1,used_for_walking,sf,59807,10.9988779899443,5,2,11,9,0.818182,0.866667,9.932513,10,1.0,5.95614298257164,D,1.0,24,7,35,48,183,87.9673469387755,23.1170331185874,61.9452626522512,162.54705882263,0.871064586213707,IT
